t,phi_mean,phi_var,phi_max,phi_min,saturation_frac,plastic_frac,crystallized_frac,config_flux_mean,rotation_mean,torsion_rms,coherence_C,exchange_X,dCdX,local_coherence_mean,drive_S,drive_D,drive_F,drive_TH,drive_B,drive_E,drive_IBT,drive_ZBT
160,0.5272005569000575,0.00419132984967094,0.7285389769224249,0.11752816517644288,0.0,0.2666015625,0.0,0.009800420189195962,0.010862367499500088,0.11546341430151567,0.04681124354886984,629.499589379458,1.54570087536658e-05,0.8555984645469318,0.1299294019800245,0.147370198276416,0.004136540581156405,9.594145609351449e-05,0.0,0.021340968939827558,0.007749999000241701,0.007044447715153336
161,0.5284566515700558,0.004101959436961893,0.7298191757191664,0.1145735121839415,0.0,0.26708984375,0.0,0.009808230966317024,0.010854303520257012,0.11546140792482025,0.04675752030543685,632.854716497329,-1.6012282559081596e-05,0.8557104992550644,0.12985908840728155,0.14761615593201616,0.004140460374713216,0.00010089134313184399,0.0,0.021447277827163304,0.0077646687657476005,0.007033889152088407
162,0.5288073002841784,0.004183966046065102,0.7399086702839116,0.11297169395271063,0.0,0.269287109375,0.0,0.009805816461227159,0.010849827013587561,0.11532413136859207,0.04674281582926844,614.6137276607237,8.061227546450855e-07,0.8558546789077589,0.12962848801202725,0.14796786243961565,0.004158255289178287,0.00010125416665735769,0.0,0.02158898753059857,0.007781293032418468,0.007015848601338644
163,0.5289675708795145,0.004118281649680162,0.7539904630075157,0.12078719685866743,0.0,0.2744140625,0.0,0.009815098687251327,0.010840065074975282,0.11517395916636047,0.04675231703201293,609.6079863613711,-1.8980610815262597e-06,0.8560308256779523,0.12901265595967448,0.14806604407956997,0.0042049545625985445,0.00010509577217140276,0.0,0.021850106536230637,0.007788839890393172,0.007014236985732973
164,0.5294607859466637,0.0040405735679806465,0.7541425566712469,0.1324239594135974,0.0,0.275634765625,0.0,0.009824168721107637,0.010830669831579109,0.11508077348268375,0.04678151670496137,601.9051340612205,-3.790761111681906e-06,0.8562017447631317,0.1289061025347626,0.14811091984626407,0.004218748102107117,0.00010438443087268274,0.0,0.02188436188672854,0.007790061823034749,0.007008999851374851
165,0.5298287299216847,0.00396033812666109,0.7553140160201218,0.1388634553505213,0.0,0.278564453125,0.0,0.0098276684767772,0.01082658324312178,0.11478104232549885,0.046738815469483094,617.1482550749456,-2.8013446485024967e-06,0.8563637565146086,0.1285952219706819,0.14824902006506585,0.004226904481620771,0.0001030713431438825,0.0,0.021978984163246944,0.0077955267931887,0.007000695112343929
166,0.5300444067509569,0.0038933545142954286,0.7509922359271908,0.1479856731635557,0.0,0.2783203125,0.0,0.009830821631476503,0.010819658962477984,0.11491629881619547,0.04657413270699697,611.0622389568418,2.7059205774406103e-05,0.8564964578282407,0.12867436000715218,0.14835204437807173,0.004214402240596114,0.00010371397620572815,0.0,0.022006922110533473,0.007799744469823272,0.006992793627528197
167,0.530347040310316,0.0039173327199509035,0.7483285261190205,0.17035223072685773,0.0,0.278076171875,0.0,0.009827014544805453,0.01081665251379175,0.11473607207570242,0.046539996247818835,599.6968737786074,3.003551460318315e-06,0.8566625295373771,0.12871129968638512,0.14841243389026793,0.004184479605168195,0.00010203570289148106,0.0,0.021960712225731135,0.007801153726378292,0.006988102612490157
168,0.529891984099014,0.003972136762670395,0.767609504270116,0.14637196322391863,0.0,0.2783203125,0.0,0.009820130690443792,0.010806623911107429,0.1147258222495136,0.04636463151936201,586.5254306022913,1.331401017408289e-05,0.8567286487398408,0.12868259044664,0.1484971712868885,0.0041900738013300465,0.0001047156473721829,0.0,0.02202566454607658,0.00780678676413869,0.006984353731492929
169,0.5285772931878212,0.003858169721386193,0.7662013192329354,0.14552626155712012,0.0,0.281982421875,0.0,0.00982871568899321,0.010800612002950672,0.11439627046809338,0.04616057958141082,594.7137673458067,-2.4919827352335178e-05,0.8567621790188804,0.1282983361561231,0.1483697555477239,0.004218092204240041,0.00010793587500974614,0.0,0.022227962573340955,0.007802287665588032,0.006991081295381446
